,Unnamed: 0,Title,Price,Address,Bathroom,Room,Furnished,Pet Allowed,Postal Code
234,234,__✅✅_ $1.000 BUY HOME - RENT TO OWN - NO BANK NEEDED - BUY CONDO,$999.00,Cérès Québec Canada,1,5 1/2,Non,Non,
235,235,most see,$1170.00, westmount h3y2r2 QC Canada,1,4 1/2,Non,Oui,
237,237,Grand 3 1/3 libre de suite ( haut de triplex ),$650.00,H3L Canada,1,3 1/2,Non,Non,
244,244,3 1/2 Metro Jean Talon,$700.00,7233 Rue Berri Montréal QC Canada,1,2 1/2,Non,Unknown,
245,245,3 1/2 Appartement Villeray St-Michel - complètement rénové,$1100.00,Montréal QC H2E2P5 Canada,1,2 1/2,Non,Unknown,
291,291,Location apartement 4 1/2,$660.00, Montréal H4v1e8 QC Canada,1,4 1/2,Non,Unknown,
294,294,4 1/2 Apartment for Rent - Ahuntsic,$850.00,H2M2H6 Canada,1,4 1/2,Non,Unknown,
297,297,4 1/2,$610.00,Montréal-Nord Montréal QC Canada H1G1L5,1,4 1/2,Non,Non,
303,303,Plateau Mont-Royal-Métro Frontenac/Papineau-superbe 3.5 meublé,$1045.00,2255 Des Erables H2K3V4 Montreal QC,1,3 1/2,Oui,Non,
306,306,Sous-location 4 1/2 Outremont Janvier à Juin,$605.00,Avenue Bloomfield Montréal QC H2V Canada,1,4 1/2,Oui,Non,
310,310,Cession de bail 4 1/2 Plateau Mont royal / Laurier est,$841.00,Rue Marquette Montréal QC Canada,1,4 1/2,Non,Non,
316,316,Condo à louer Fort Lauderdale (Hawaiin Garden),$1750.00, st-jerome j7z 4m9 QC Canada,1,4 1/2,Oui,Non,
319,319,Lumineux spacieux récemment rénové 4 1/2 Disponible Maintenant,$1210.00,1126 Rue Island H3K2M8 Montreal QC,1,4 1/2,Non,Non,
338,338,Bright spacious newly renovated 4 1/2. Available immediately!,$1210.00,1126 Rue Island H3K2M8 Montreal QC,1,4 1/2,Non,Non,
339,339,Recherché :APPARTEMENT 3 ET DEMI RECHERCHÉ/WANTED,$800.00, montreal h4n1r2 QC Canada,1,3 1/2,Non,Non,
340,340,Cession de bail 3 1/2 à h1g 5x9 Montreal nord,$650.00,Montréal QC Canada H1G H1J,1,3 1/2,Oui,Oui,
344,344,Cote-St-Paul Sud-Ouest - Beau 5 1/2 - 2 Chambres - Janvier 900$,$900.00, montreal h4e 2j1 QC Canada,1,3 1/2,Non,Oui,
346,346,Luxury Furnished Historical Downtown Apartment!,$3000.00,3492 Durocher H2X2E1 Montreal QC,2,2 1/2,Oui,Oui,
347,347,NEW CONSTRUCTION affordable BRIGHT 1-bedroom condo,$1400.00,738 Rue st. Paul West H3C0R5 Montreal QC,1,2 1/2,Non,Unknown,
358,358,Chambre lumineuse dans grand appartement 6 1/2 Plateau Mt Royal,$533.00, Montreal H2T2W4 QC Canada,1,2 1/2,Oui,Non,
360,360,Recherché :3 1/2 saint leonard,$680.00,H1R2W8 Canada,1,2 1/2,Non,Non,
364,364,Lasalle Beau 4 1/2 pour Decembre. 870$,$870.00, Lasalle H8P2P6 QC Canada,1,4 1/2,Non,Non,
367,367,IMPECCABLE FULLY FURNISHED CONDO IN OLD MONTREAL,$2300.00,901 Rue De La Commune Montreal QC H3C Canada,1,2 1/2,Oui,Unknown,
368,368,HIGH-END LIVING AT ITS FINEST IN GRIFFINTOWN,$5000.00,100 Rue du Séminaire Montréal QC H3C Canada,1,4 1/2,Oui,Non,
374,374,Logement à louer Drummondville CHIEN ACCEPTÉ,$600.00, Drummondville J2C7S5 QC Canada,1,4 1/2,Non,Non,
376,376,Brand new (Exalto )4 1/2 for rent .195 rue peel Griffintown,$1600.00,195 Peel h3C0T1 Griffintown. Montreal QC,1,4 1/2,Non,Non,
381,381,Nice 5 12 three bedrooms* near METRO STATION,$Surdemande,2752 Hohelaga h2k1k2 montreal QC,1,5 1/2,Non,Non,
389,389,Solano- vue fleuve- équipé meublé,$2000.00,901 Rue de la Commune E Montréal QC H2L OE2 Canada,1,3 1/2,Oui,Non,
391,391,4 1/2 Plateau Mont-Royal - Libre au 19 Décembre - 2 semaines,$1325.00, Montréal H2W2K4 QC Canada,1,4 1/2,Non,Oui,
400,400,**7 1/2 VERDUN***RDC** PRES DU METRO PISTE CYCLABLES RESTOS!,$1100.00,127 2ieme avenue h4g2w2 verdun QC,1,4 1/2,Non,Non,
403,403,Appartement Condo. Loft 2 1/2. Ville Saint Laurent. Bois Franc.,$1175.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,1 1/2,Non,Unknown,
409,409,logement 4 1/2 à Pincourt,$875.00,77 5e Avenue Pincourt QC J7W Canada,1,4 1/2,Non,Non,
426,426,Brand New Apartments FOR RENT in Downtown Montreal 1st JULY 2019,$990.00,1438 overdale Montreal H3G1V3 QC Canada,1,3 1/2,Oui,Unknown,
427,427,Appartement Condo. 3 1/2. Ville Saint Laurent. Tours Bois Franc.,$1200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,2 1/2,Oui,Unknown,
433,433,5 1/2 à louer,$1350.00,H2G2R8 Canada,1,5 1/2,Oui,Unknown,
437,437,2 1/2 à louer - Ville-Marie Montréal,$1635.00,110 Rue Sainte-Thérèse Montréal QC H2Y1E6,1,2 1/2,Oui,Oui,
438,438,NOUVEAUX appartement de LUXE | Ville Mont-Royal,$2000.00,37 Roosevelt Montréal QC H3R1Z3,1,3 1/2,Oui,Oui,
439,439,Furnished rental│ Downtown Montreal │All Included,$1595.00,1400 Maisonneuve Montréal QC H2L2A7,1,2 1/2,Oui,Non,
440,440,3 ½ Rénové Style Condo Semi-Meublé et tout inclus.,$745.00,11666 Boulevard Saint Germain Montréal QC H4J1Z7,1,3 1/2,Unknown,Non,
441,441,1 bedroom | 1200$/month | Downtown Montreal | December 1st,$1200.00,1400 Maisonneuve Montréal QC H2L2A7,1,3 1/2,Non,Non,
442,442,3 1/2 Semi-Meublé dans NDG Tout inclus.,$750.00,2350 Rue Mariette Montréal QC H4B2E6,1,3 1/2,Unknown,Non,
443,443,4 1/2 à louer près des Galerie d'Anjou,$1050.00,7050 Bombardier Anjou QC H1J2G1,1,4 1/2,Non,Non,
449,449,Renovated 1 1/2 studio apts for rent,$700.00, Montreal H3X2K1 QC Canada,1,1 1/2,Oui,Non,
470,470,Luxueux Loft dans la petite Italie,$1295.00, montreal h2s3c5 QC Canada,1,3 1/2,Oui,Non,
471,471,HEATED 3 1/2 FOR RENT - NDG (Large Bright and Clean),$1050.00,Beaconsfield Avenue corner Somerled Avenue H3X2A9 Canada,1,2 1/2,Oui,Oui,
474,474,Appartement Condo. Loft 2 1/2. Ville Saint Laurent. Bois Franc.,$1175.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,1 1/2,Non,Unknown,
480,480,Appartement Condo. 5 1/2 Ville Saint Laurent. Tours Bois Franc.,$2200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,5 1/2,Non,Unknown,
481,481,Recherché :Cherche studio à saint Léonard ou Anjou,$Surdemande, H9g2t5 Montreal QC,1,1 1/2,Oui,Non,
491,491,Cession de bail d'un 3 et 1/2 à Villeray,$560.00,Montréal QC H2G Canada,1,3 1/2,Non,Non,
495,495,Beau 4 1/2 <a Louer dans Ahuntsic-Cartierville,$800.00,10680 Sackville Montréal H2B2W9 QC,1,4 1/2,Non,Non,
499,499,4½ à louer - LaSalle pour décembre ou janvier,$775.00, LaSalle H8R2Z5 QC Canada,1,4 1/2,Non,Unknown,
505,505,Association des propriétaires du Québec,$Surdemande,10720 Boulevard St-Laurent Montréal QC H3L2P7,1,2 1/2,Non,Unknown,
507,507,Logement entier près du métro.,$1700.00,H4C2P7 Canada,1,5 1/2,Oui,Non,
510,510,Super Studio meublé 4e étage ascenseur tout inclus...,$770.00,10231 St-Laurent H3L2N6 Montréal QC,1,2 1/2,Oui,Non,
511,511,Studio St-Laurent/Fleury immeuble tranquille,$585.00,10231 St-Laurent H3L2N6 Montréal QC,1,1 1/2,Non,Non,
512,512,Association des propriétaires du Québec,$Surdemande,10720 Boulevard St-Laurent Montréal QC H3L2P7,1,2 1/2,Non,Unknown,
522,522,Montréal-Nord - 31/2 à louer,$Surdemande, Montréal-Nord H1G3W3 QC,1,3 1/2,Non,Unknown,
536,536,2 BR condo -Mcgill ghetto: Furnished for now,$95.00, MONTREAL h2x1t6 QC Canada,1,4 1/2,Oui,Non,
543,543,Condo à louer 3 1/2 Metro Snowdon,$1395.00,H3W1X4 Canada,1,3 1/2,Oui,Non,
545,545,Appartement Condo. 4 1/2. Ville Saint Laurent. Tours Bois Franc.,$1650.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,4 1/2,Oui,Non,
553,553,Brand new (Exalto )4 1/2 for rent .195 rue peel Griffintown,$1600.00,195 Peel h3C0T1 Griffintown. Montreal QC,1,4 1/2,Non,Non,
557,557,Recherche condo/apt 3 1/2,$900.00, Montreal H4v4v4 QC Canada,1,3 1/2,Oui,Unknown,
562,562,Recherché :Wanted - Appartement 2 1/2 ou 3 1/2 tout inclus tout meublé,$900.00, montreal h2z0a3 QC Canada,1,2 1/2,Oui,Unknown,
563,563,Recherché :Recherche condo/apt 3 1/2,$900.00,H4v2v4 Montreal H4v2v4 QC Canada,1,3 1/2,Oui,Unknown,
579,579,Beau grand 3 1/2 rénové dans Rosemont Petite Patrie disponible,$800.00,Rue Bélanger près Sagard H2g1e5 Montreal QC,1,3 1/2,Non,Non,
581,581,Beautiful condo Atwater market fully furnished,$1950.00,H4C2L1 Canada,1,4 1/2,Oui,Unknown,
583,583,4 1/2 à louer près du métro Monk,$850.00,6622 D'Aragon H4E3B3 Montréal QC,1,4 1/2,Non,Non,
584,584,4 1/2 apts à louer Métro Langelier,$775.00, Montréal H1N2Y7 QC Canada,1,4 1/2,Non,Non,
586,586,Appartement Condo. 3 1/2. Ville Saint Laurent. Tours Bois Franc.,$1200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,2 1/2,Oui,Unknown,
587,587,Ahuntsic 4 et 1/2 avec 2 chambres fermées wifi,$1150.00,montreal Canada,1,4 1/2,Oui,Non,
588,588,Appartement 3 1/2 en location à partir du 1er décembre,$650.00,667 7e avenue H8s 2Z9 Lachine QC,1,3 1/2,Non,Non,
596,596,Beau grand 3 1/2,$700.00, Montreal H3l2n7 QC Canada,1,3 1/2,Non,Oui,
606,606,Pres de Gouin beau 4 et demi,$670.00, montréal-nord H1H4T8 QC Canada,1,4 1/2,Non,Non,
610,610,• 5 1/2 Quartier Villeray 100% rénové 5 min métro Jarry libre,$2375.00,8032 St-André H2R2R4 Montréal QC,1,5 1/2,Non,Non,
613,613,Association des propriétaires du Québec,$Surdemande,10720 Boulevard St-Laurent Montréal QC H3L2P7,1,2 1/2,Non,Unknown,
618,618,Association des propriétaires du Québec,$Surdemande,10720 Boulevard St-Laurent Montréal QC H3L2P7,1,2 1/2,Non,Unknown,
623,623,>>>>>>>>>✅✅$1000 BUY HOME - NO BANK NEEDED - RENT TO OWN - HOUSE,$999.00,Cérès Québec Canada,1,5 1/2,Non,Non,
624,624,6 1/2 Marche Jean-Talon à sous-louer (Jan-Juillet/Aout 2019),$1600.00, Montreal h2r1y1 QC Canada,2,6 1/2,Oui,Unknown,
626,626,Brand new (Exalto )4 1/2 for rent .195 rue peel Griffintown,$1600.00,195 Peel h3C0T1 Griffintown. Montreal QC,1,4 1/2,Non,Non,
628,628,rosemont/cote des neiges/villeray/ahuntsic/ mtl nord/cartiervill,$525.00, h2r2e4 montreal QC Canada,1,4 1/2,Non,Non,
640,640,Association des propriétaires du Québec,$Surdemande,10720 Boulevard St-Laurent Montréal QC H3L2P7,1,2 1/2,Non,Unknown,
643,643,Recherché :looking for a 51/2 to rent or 41/2 bottom,$Surdemande, montreal h4h2e6 QC Canada,1,5 1/2,Non,Non,
645,645,4 1/2 METRO H-BOURASSA 4 1/2rénove DECEMBRE WI-FI,$885.00,1725 HENRI BOURASSA EST H2C1J5 MONTREAL QC,1,4 1/2,Oui,Non,
653,653,Brand new (Exalto )4 1/2 for rent .195 rue peel Griffintown,$1600.00,195 Peel h3C0T1 Griffintown. Montreal QC,1,4 1/2,Non,Non,
654,654,rosemont/cote des neiges/villeray/ahuntsic/ mtl nord/cartiervill,$525.00, h2r2e4 montreal QC Canada,1,4 1/2,Non,Non,
656,656,4 1/2 à sous-louer,$680.00,Montreal QC Canada,1,4 1/2,Oui,Oui,
657,657,PLATEAU!,$495.00, Montreal H2t1s1 QC Canada,1,1 1/2,Oui,Non,
661,661,Montréal beau 4 1/2 métro H.Beaugrand,$775.00, montréal h1l2k6 QC Canada,1,4 1/2,Non,Unknown,
668,668,Rent weekly downtown,$300.00,montreal Canada,1,1 1/2,Oui,Unknown,
670,670,51/2 Plateau MUST SEE!,$1500.00, Montreal H2H2E6 QC Canada,1,5 1/2,Non,Unknown,
684,684,Recherché :condo/apartment/basement required,$Surdemande, lasalle h8n2x2 QC Canada,1,2 1/2,Oui,Unknown,
689,689,Logement à louer- Décembre gratuit,$675.00,Rue Saint-Louis Salaberry-de-Valleyfield QC J6T Canada,1,4 1/2,Non,Oui,
692,692,Condo luxueux à Bois-Franc de 2 c.a.c. unité de coin cours privé,$1745.00, Montreal H4R0J4 QC Canada,1,4 1/2,Oui,Unknown,
704,704,Appartement Condo. 3 1/2. Ville Saint Laurent. Tours Bois Franc.,$1200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,2 1/2,Oui,Unknown,
713,713,Cessation de bail 4 et demi!,$600.00, montreal h2e2g8 QC Canada,1,4 1/2,Non,Non,
725,725,Appartement Condo. 3 1/2. Ville Saint Laurent. Tours Bois Franc.,$1200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,2 1/2,Oui,Unknown,
726,726,DANS MILE-EX SUPERBE LOFT 6397 ST-LAURENT (BEAUBIEN),$1550.00,Place Gennevilliers Laliberté Montréal QC H1V Canada,1,4 1/2,Oui,Unknown,
736,736,Lofts For rent Clark Street 750 square feet,$1500.00,laval quebec h7e4g9 Canada,1,2 1/2,Oui,Unknown,
740,740,Cessation de bail 3 1/2,$716.00,Rue Juliette Montréal QC H8N Canada,1,3 1/2,Non,Non,
745,745,À louer - 1er janvier - 6 1/2 - rénové - 3 chambres - Rosemont,$1450.00, Montréal H1Y2Y7 QC Canada,1,6 1/2,Non,Non,
746,746,4 1\2 LaSalle logement 2e étage près de l'Hôpital LaSalle,$650.00,771 44 ave Lasalle H8P2T7 QC Canada,1,4 1/2,Non,Non,
749,749,Recherché :Bachelor or loft style near Villeray or Jean Talon,$1000.00, Montreal H2E1H1 QC Canada,1,1 1/2,Non,Non,
751,751,Appartement Condo. Loft 2 1/2. Ville Saint Laurent. Bois Franc.,$1175.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,1 1/2,Non,Unknown,
755,755,APARTMENT FOR RENT AVAILABLE NOW,$950.00,LaSalle Canada,1,4 1/2,Non,Unknown,
757,757,Très Grand 4 1/2 1000$,$1000.00,H3S2C8 Canada,1,4 1/2,Non,Unknown,
761,761,3 1/2 à sous louer (janvier à avril),$900.00,H2G2P4 Canada,1,3 1/2,Oui,Non,
771,771,3 1/2 Parc la Fontaine !une mois gratuite !tout inclus,$1150.00,3425 Rue Papineau Montréal QC H2K Canada,1,2 1/2,Non,Non,
773,773,SUPERBE 7 1/2 MEUBLÉ ET TOUT INCLUS A DEUX PAS DU MÉTRO,$2350.00,Rue Saint-Denis Montréal QC Canada,1,6 1/2,Oui,Non,
776,776,Appartement Condo. 5 1/2 Ville Saint Laurent. Tours Bois Franc.,$2200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,5 1/2,Non,Unknown,
791,791,Appartement 3 1/2 meublé tout inclus,$1500.00, Montreal H2Y0A8 QC Canada,1,3 1/2,Oui,Non,
795,795,Apartment in The Plateau,$900.00,Montreal QC H2X2X5 Canada,1,2 1/2,Non,Non,
799,799,Recherché :Monthly rent ONLY Full furnished 1850,$1850.00,montreal Canada,1,4 1/2,Oui,Non,
801,801,4 1/2 PRES DE METRO FRONTENAC,$850.00,1461 rue d'iberville h2k3b7 MONTREAL QC,1,4 1/2,Non,Non,
805,805,Recherché :Monthly rent ONLY Full furnished 1850,$1850.00,montreal Canada,1,4 1/2,Oui,Non,
820,820,3 1/2 Rosemont semi meublé cessation de bail 1ier dec,$550.00, H1X2P6 MONTREAL QC Canada,1,3 1/2,Oui,Unknown,
824,824,Looking for an apartment!! In Pointe St. Charles,$1400.00,H4C1S5 Canada,1,4 1/2,Non,Oui,
828,828,4 1/2 PRES DE METRO FRONTENAC,$850.00,1461 rue d'iberville h2k3b7 MONTREAL QC,1,4 1/2,Non,Non,
829,829,3 Bdrm/2 baths.Beautiful.Bright.2017construction. CSL $1950,$1950.00,7369 Chemin Kildare Côte Saint-Luc QC H4W Canada,2,5 1/2,Non,Non,
834,834,Recherché :Couple tranquille non fumeur cherche 4 1/2 juillet 2019,$Surdemande, Montreal h1s 1w6 QC Canada,1,4 1/2,Non,Oui,
839,839,Condo Loft VIEUX PORT /GRIFFINTOWN semi-meublé,$1315.00, H3C0N1 Montréal QC Canada,1,2 1/2,Non,Unknown,
843,843,GRAND 3½ ENSOLEILLÉ ENTIÈREMENT REFAITS À NEUF,$1050.00, H1X2C5 MONTREAL QC,1,2 1/2,Non,Non,
844,844,GRAND 3½ ENSOLEILLÉ ENTIÈREMENT REFAITS À NEUF,$1050.00, H1X2C5 MONTREAL QC,1,3 1/2,Non,Non,
853,853,**7 1/2 VERDUN***RDC** PRES DU METRO PISTE CYCLABLES RESTOS!,$1100.00,127 2ieme avenue h4g2w2 verdun QC,1,4 1/2,Non,Non,
860,860,Condo 4 1/2 sur 2 étages + Terrasse *HOMA* 1er Décembre,$1045.00,2243 Rue Honoré - Beaugrand Montréal QC H1L Canada,1,4 1/2,Non,Unknown,
866,866,Condo 4 1/2 wanted / recherché Bois-Francs Ville St-Laurent,$1300.00, St-laurent H4r 0j1 QC Canada,1,4 1/2,Non,Unknown,
867,867,Superbe 3 1/2 condo Lowney sur Ville Griffintown,$1450.00,1000 Ottawa Montreal H3C0P3 QC,1,3 1/2,Non,Non,
869,869,Recherché :Cherche un grand 3 1/2 ou 4 1/2 coin villeray pas plus 750$,$750.00, Montréal H3g 1t2 QC Canada,1,4 1/2,Oui,Non,
870,870,Sunny condo Atwater market private terrace,$1950.00,H4C2L1 Canada,1,4 1/2,Oui,Unknown,
880,880,Chambre d'hôtes (1mois),$Surdemande, MONTREAL H3T1Y8 QC Canada,1,5 1/2,Oui,Unknown,
890,890,Rosemont Grand 31/2 à louer,$800.00,6266 31e avenue H1T3E3 Montreal QC,1,3 1/2,Non,Non,
892,892,3 1/2 appartment Pointe-Claire/Dorval. Lakeshore,$795.00,403-25 Raynor Canada,1,3 1/2,Oui,Unknown,
909,909,31/2 a louer a Plateau Mont-Royal,$840.00,66 boul Saint Joseph est H2T1H1 montreal QC,1,3 1/2,Non,Non,
913,913,appartement loft a louer,$1300.00,3722 Avenue Laval H2X3C9 Montréal QC,1,1 1/2,Oui,Non,
921,921,appartement loft tout inclus,$1200.00,3722 Avenue Laval H2X3C9 Montréal QC,1,1 1/2,Oui,Non,
922,922,Cession de bail jusqu’en juin 2019.,$2100.00,1070 De Bleury H2Z1N3 Montreal QC,1,3 1/2,Oui,Unknown,
929,929,Appartement Condo. 5 1/2 Ville Saint Laurent. Tours Bois Franc.,$2200.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,5 1/2,Non,Unknown,
932,932,Recherche nouveau coloc dans un 5 1/2 440/$ Plateau Mont-Royal,$440.00, Montréal H2W2M7 QC Canada,1,5 1/2,Oui,Non,
937,937,Rosemont 2 1-2 - électroménagers - électricité/chauffage inclus,$660.00, h1t2z7 Montreal QC,1,2 1/2,Oui,Oui,
939,939,Stunning 1 bedroom Apartment in St-Henri,$1840.00,H3J2Z7 Canada,1,2 1/2,Non,Oui,
948,948,Superbe condo à louer / Superb condo to rent in le Sud-Ouest!,$1750.00,716 Rue St-Ferdinand H4C2T2 Le Sud-Ouest QC,1,4 1/2,Oui,Non,
951,951,4 1/2 PRES DE METRO FRONTENAC,$850.00,1461 rue d'iberville h2k3b7 MONTREAL QC,1,4 1/2,Non,Non,
952,952,Appartement Condo. Loft 2 1/2. Ville Saint Laurent. Bois Franc.,$1175.00,1300 Boulevard Alexis-Nihon Saint-Laurent QC H4R Canada,1,1 1/2,Non,Unknown,
961,961,3½ rénové à C.S.L à partir de 1050$ tout inclus.,$1050.00,Côte Saint-Luc QC H4W2Y1 Canada,1,6 1/2,Non,Non,
963,963,4½ rénové à C.S.L à partir de 1450$ tout inclus.,$1450.00,Côte Saint-Luc QC H4W2Y4 Canada,1,4 1/2,Non,Non,
966,966,FABULOUS TOP Floor 4 1/2 CdN/NDG,$810.00, Montreal H4V1X7 QC Canada,1,4 1/2,Non,Non,
968,968,Recherché :Recherche appartemen/logement avec accès chaise roulante ......,$Surdemande, Montreal j6s 6n6 QC Canada,1,4 1/2,Non,Unknown,
977,977,4 1/2 PRES DE METRO FRONTENAC,$850.00,1461 rue d'iberville h2k3b7 MONTREAL QC,1,4 1/2,Non,Non,
978,978,Brand new (Exalto )4 1/2 for rent .195 rue peel Griffintown,$1600.00,195 Peel h3C0T1 Griffintown. Montreal QC,1,4 1/2,Non,Non,
981,981,LOGEMENT 4 1/2 APPAREILS FOURNI ROSEMONT LIBRE $ 840.00,$840.00,3900 Boulevard Rosemont H1X1L6 Montréal QC,1,4 1/2,Non,Non,
985,985,Recherché :Recherhce 3 1/2 ou 4 1/2 Ahuntsic (Henri-B) - Déc/Janv,$700.00, H3l 2M5 Montréal QC Canada,1,3 1/2,Non,Unknown,
987,987,Recherché :4 1/2 dans le Vieux-Rosemont pour le 1er mars 2019,$Surdemande, H1Y1W9 Montréal QC,1,4 1/2,Non,Unknown,
999,999,Grand 5 1/2 rénové à louer,$1300.00, Montréal H1m1z3 QC Canada,1,5 1/2,Non,Non,
1023,1023,Plateau Mont-Royal-Métro Frontenac/Papineau-superbe 3.5 meublé,$1045.00,2255 Des Erables H2K3V4 Montreal QC,1,3 1/2,Oui,Non,
1035,1035,3 1/2,$575.00,H2A1J3 Canada,1,3 1/2,Non,Unknown,
1037,1037,Location appartement 4 1/2,$660.00, Montréal H4v1e8 QC Canada,1,4 1/2,Non,Non,
1038,1038,Beautiful appartment,$1170.00, westmount h3y2r2 QC Canada,1,4 1/2,Non,Oui,
1039,1039,Recherché :Cherche rdc 3 chambres et + avec cour,$1300.00,H2M1M7 Canada,1,5 1/2,Non,Unknown,
1043,1043,100% Calme,$645.00,2783 Avenue Laurier E Montréal QC H1Y Canada,1,3 1/2,Non,Non,
1055,1055,3.5 in Pointe-Saint-Charles lease transfer dec1 $760,$760.00,Ropery H3K2X1 Pointe st.charles QC,1,2 1/2,Non,Oui,
1065,1065,Condo/studio à louer,$1100.00,Rue Masson Montréal QC Canada,1,1 1/2,Oui,Non,
1074,1074,Magnifique condo à louer dans Griffintown,$2000.00,845 Rue Notre-Dame Ouest Montréal QC H3C Canada,1,3 1/2,Oui,Non,
1080,1080,Magnifique condo à louer dans Griffintown,$2000.00,845 Rue Notre-Dame Ouest Montréal QC H3C Canada,1,3 1/2,Oui,Non,
1086,1086,2 1/2 semi sous-sol,$600.00,H8P1X8 Canada,1,2 1/2,Non,Non,
1087,1087,Logement 5 1/2 Hochelaga Maisonneuve 5 min à pied métro Cadillac,$960.00, MONTREAL h1n2p9 QC Canada,1,5 1/2,Non,Non,
1122,1122,Recherché :Recherche 4 1/2 (ou autre selon) mars 2019,$1100.00, Montréal H4C1P7 QC,1,4 1/2,Non,Oui,
1131,1131,1 bdrm apartment w/ parking on Monkland,$1435.00,H4A1H1 Canada,1,2 1/2,Non,Unknown,
