Title,Price,Address,Bathroom,Room,Furnished,Pet Allowed
2710 Barclay 3 1/2 LOUER RENT Octobre,$899.00,2710 Barclay Montreal QC H3S 1J6,1,3 1/2,Non,Unknown
2 Bedroom Loft-Style Rental Apartment,$2250.00,1009 Rue De Bleury Montreal QC H2Z 0A3,1,4 1/2,Non,Oui
2 bedrooms chambres Downtown Centre Ville McGill DECEMBER,$1695.00,1530 DR PENFIELD Montreal QC H3G 1C1,2,4 1/2,Non,Non
3 1/2 Bath Apartment in Montreal Financial District,$1550.00,688 Rue Notre-Dame Ouest Montreal QC H3W 1J4,1,2 1/2,Non,Non
4 1/2 à louer près des Galerie d\'Anjou,$1050.00,7050 Bombardier Anjou QC H1J2G1,1,4 1/2,Non,Non
Bachelor available at 1350 Du Fort street Montreal,$800.00,1350 Du Fort street Montreal QC H3H 2R7,1,1 1/2,Non,Unknown
1 1/2 à louer au 1350 rue Du Fort Montréal,$800.00,1350 rue Du Fort Montréal QC H3H 2R7,1,1 1/2,Non,Unknown
Appartement 4 1/2 à louer,$670.00,11975 Rue Ontario E Pointe-aux-Trembles QC H1B 1L2 Canada,1,4 1/2,Non,Unknown
3 1/2 Plateau Parc La Fontaine !tout inclus !mois gratuite,$1100.00,3425 Rue Papineau Montréal QC H2K Canada,1,3 1/2,Non,Non
Superbe condominium à louer !,$1250.00,14419 Rue Jolicoeur #201 Pierrefonds QC H9H 5M5 Canada,1,4 1/2,Non,Non
New luminous downtown furnished Condo w/ park view - Jan 2019,$1880.00,1265 Rue Lambert Closse Montréal QC H3H 1Z4 Canada,1,2 1/2,Oui,Non
Nouveau Condo luxueux aux centre ville belle vue - Janvier 2019,$1880.00,1265 Rue Lambert Closse Montréal QC H3H 1Z4 Canada,1,3 1/2,Oui,Non
STYLE CONDO 3e ÉTAGE STATIONNEMENT INCLUS MONTRÉAL-NORD,$900.00,3865 Boul Henri-Bourassa E Montréal-Nord QC H1H 1K6 Canada,1,4 1/2,Non,Non
Bon secteur - Grand 4 1/2 - avec terrasse,$845.00, Montreal H9H4T1 QC Canada,1,4 1/2,Non,Oui
APARTMENT/Appartement NDG Incl. Heat+Hot Water+Fridge/Stove,$875.00,6545 Rue Sherbrooke O Montréal QC H4B 1N2 Canada,1,4 1/2,Non,Unknown
4 1/2 - Rosemont - tout inclus,$1400.00, Montréal H2G 1X6 QC Canada,1,4 1/2,Oui,Non
Furnished sublet Plateau/McGill *january semester,$1500.00,3600 Av du Parc Montréal QC H2X 2J1 Canada,1,4 1/2,Oui,Unknown
Recherché :Urgent cherche Logement,$Surdemande,5644 Rue Beaulieu Montréal QC H4E 3E3 Canada,1,5 1/2,Non,Oui
4 et demi à louer ! 600$ Montréal-Est,$600.00,2182 Rue Pierre-Tétreault Montréal QC H1L 4Y7 Canada,1,4 1/2,Non,Oui
Condo 1450 Parthenais for rent,$1200.00,1450 Parthenais H2K3R9 Montreal QC,1,3 1/2,Oui,Non
FULLY FURNISHED ALL INCLUDED 51/2 - NDG (LOYOLA),$1650.00, Montreal H4V 2A2 QC Canada,1,5 1/2,Oui,Non
Métro D'Iberville 4 1/2 haut de triplex stationnement.,$900.00,1450 Rue Guy Montréal QC H3H 1J5 Canada,1,4 1/2,Non,Non
4 1/2 (demi sous-sol lumineux) près hôpital Maisonneuve-Rosemont,$740.00, st-leonard H1S 1B4 QC Canada,1,4 1/2,Non,Unknown
MILE-END!!GRAND 51/2 AVEC 3 CHAMBRES FERMÉES+1 MOIS GRATUIT,$1750.00,5370 Av du Parc Montréal QC H2V 4G7 Canada,1,5 1/2,Non,Non
Luxury Condo For Rent in TMR One Bedroom,$1800.00,905 Avenue Plymouth Mont-Royal QC H4P 1B2 Canada,1,2 1/2,Non,Oui
Large 2 Bedroom (4.5) Apartment in the Heart of Downtown!,$2200.00,350 Prince-arthur West Montreal QC H2X 3R4,1,4 1/2,Non,Oui
3 1/2 NAVARIN À VILLE ST. LAURENT à coté du métro CÔTE- VERTU,$945.00,990 SAINT FRANCOIS XAVIER Saint Laurent QC H4L 5E7,1,3 1/2,Non,Non
Ville St Laurent Très beau 3 1/2 Rénové Haut Triplex 2 balcons,$770.00,2897 TOUPIN Saint-Laurent H4R1G7 QC,1,2 1/2,Non,Non
Nice Renovated 4 1-2 2BR Lachine 1st Provost Dog OK,$950.00,135 Rue Provost Lachine QC H8S 1L4 Canada,1,4 1/2,Non,Oui
Condo 4 1/2 700sqft walking distance to Angrignon metro.,$925.00,1560 Rue Lapierre LaSalle QC H8N 2R2 Canada,1,4 1/2,Non,Unknown
4.5 à louer Complexe Deguire - 50 Quintin suite 111 - Ville Sai,$899.00,50 Quintin suite 111 Ville Saint-Laurent QC H4N 3A5,1,4 1/2,Non,Non
Superbe rez-de-chaussée rénové dans Griffintown,$1400.00,Rue Murray Montréal QC H3C 2E1 Canada,1,3 1/2,Non,Oui
2 1/2 A 2 PAS DU METRO FRONTENAC ECLAIREÉ CHAUF LIBRE LA,$620.00,2408 Rue Frontenac Montréal QC H2K 2Z9 Canada,1,2 1/2,Non,Non
Urget! $755 3.5 Winter Sublet,$755.00,2495 Rue Rachel E Montréal QC H2H 1R9 Canada,1,2 1/2,Oui,Non
