,Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
145,522 000,"3519, rue Ravel",Sherbrooke (Rock Forest),4,3+1,2365,16059
146,325 000,"48, 1re Avenue",Delson,4,1+1,1092,6899
147,220 000,"33, chemin Taché Est",Ste-Rita,2,1,751,2291520
148,249 500,"743, rue des Rosiers",St-Elzéar-de-Beauce,4,1+2,751,11095
149,170 000,"254, 4e rang Est",Stoke,4,2,1142,57701
150,412 000,"473, rue Brewer",Gatineau (Buckingham),4,2+2,2402,8000
152,229 900,"196, rue Hudon",Rimouski (Rimouski),4,2+1,1558,5000
153,196 900,"103-370, rue des Embarcations",Saint-Roch,2,1,952,1663
154,299 000,"664, chemin de Saint-Robert",St-Robert,2,1,952,11199
155,329 000,"50, Rue Charles-Yelle",La Prairie,2,1+1,1120,2905
156,315 000,"259, rue Varin",Terrebonne (Lachenaie),3,1+1,1198,6500
157,339 900,"8, rue Saint-Jean-Baptiste",Oka,3,1+1,1584,7183
158,319 000,"65, rue Saint-Jacques",St-Constant,3,2,1230,11307
159,324 900,"429, rue de l'Épervier",Otterburn Park,4,1+2,1230,4530
161,224 999,"1093, rue Jeary",Longueuil (Greenfield Park),3,1+1,960,710
162,285 000,"2935, rue de l'Étoffe - Par Construction Serge Brouillette",Drummondville (Drummondville),3,1+1,1344,6381
164,275 000,"680, rue Desjardins Nord",Granby,4,2,1194,54000
166,251 861,"125, rue de la Valériane",St-Augustin-De-Desmaures,3,1+1,768,5500
168,250 000,"1028, boulevard de la Chaudière",Cap-Rouge,3,1+1,1180,6043
169,219 000,"798, rue du Cheminot",La Pocatiere,4,2,952,5700
170,235 000,"1390, avenue François-1er",Limoilou,2,1,886,2199
171,343 000,"3282, rue des Églantiers",Charlesbourg,4,2+2,1126,7756
172,649 900,"684, rue du Domaine",St-André-D'Argenteuil,3,3+1,1900,104688
173,217 000,"1450, rue Paul-Perreault",Beloeil,2,1,1150,9041
174,249 500,"844, rue Prévert",St-Nicolas,3,2+1,1216,3700
175,234 700,"155, rue Maurice-Paquet",Beauport,3,1+1,851,4411
176,329 900,"270, rue Pinsonneault",La Prairie,3,1+1,1135,4926
177,317 900,"4430, rue Jacques-Crépeault",Les Saules,4,1+2,1256,2638
178,190 000,"1866, rue Fay",Jonquière (Arvida),3,1+1,962,6465
179,390 000,"88, rue Watson",Sherbrooke (Lennoxville),3,2+1,1276,6000
180,350 000,"750-758, rue Alphonse-Durand",Joliette,2,1,1276,10301
181,175 000,"18, rue du Lac-Ray Nord",Gore,2,1,600,121277
182,359 999,"5530, rue Aubin",Montréal-Nord,3,1+1,1140,3006
183,544 000,"1750, rue Tahiti",Brossard,4,2+1,1310,4952
184,495 000,"128, rue Lusignan",St-Charles-sur-Richelieu,3,2+1,2275,22953
185,342 000,"208-501, rue Main",Ayer's Cliff,2,2,999,270
186,379 000,"3475, rue Bernadette",Fabreville,3,2,1088,6049
187,175 000,"300, rue Isabelle",ND-Du-Bon-Conseil,4,1+1,918,5445
188,245 000,"4442, rue Ménard",St-Augustin-De-Desmaures,4,2,775,8261
189,500 000,"14, rue des Lilas",Bromont,4,2,1667,7083
190,300 000,"226, rue Savignac",St-Germain-De-Grantham,4,1+1,2153,7260
191,225 000,"1474, rue Bergeron",St-Émile,2,1,912,5400
192,695 000,"71, rue des Tournois",Blainville,5,3+1,912,16145
193,259 000,"53, chemin du Musée",Blainville,3,1+1,900,5806
194,699 000,"4037, rue Jacques-Porlier",Mercier / Hochelaga / Maisonneuve,3,2+2,1872,4271
195,399 900,"331, rue Blain",Mont-St-Hilaire,5,3,1323,8500
196,800 000,"7453, avenue de Chateaubriand",Villeray / St-Michel / Parc-Extension,6,4,1323,2175
197,245 000,"4580, rue de l'Onde",Charny,5,1+1,1102,5760
198,208 000,"108-100, rue Cartier",St-Lambert,1,1,600,282
199,387 500,"110, rue Deshaies",ND-Des-Prairies,3,2,1664,6000
200,255 000,"2367, chemin du Lac-Canard",Ste-Lucie-Des-Laurentides,4,1,964,43055
201,268 900,"453, montée Beaudoin",Upton,3,2,1495,46016
202,319 000,"2637, avenue Adhemar-Raynault",L'Assomption,3,1+1,1465,9197
203,139 000,"92, rue Bernard",St-Alphonse-Rodriguez,2,1,800,11250
204,254 000,"803, rue Lafontaine",Drummondville (Drummondville),3,2,1588,9100
205,410 000,"1535, rue du Framboisier",Drummondville (Drummondville),4,2,1138,11952
206,335 000,"416, avenue de la Chapelle",Magog,3,1+1,1125,9794
207,469 000,"21, chemin des Échassiers",Val-Des-Monts (Perkins),3,1+1,1400,43560
209,235 000,"25, rue Steve",Victoriaville,3,2,1093,10776
210,449 900,"210, rue des Parterres",Mascouche,3,1+1,1774,5100
211,212 500,"1130, rue Pamphile-Roy",St-Rédempteur,3,1+1,1320,3660
212,348 000,"8095, avenue Arlington",Longueuil (St-Hubert),4,2+1,999,13875
213,229 000,"680, rue Sainte-Ursule",Trois-Rivières (Trois-Rivières),4,3,999,4194
214,174 900,"6105, rue de la Montagne",Trois-Rivières (Trois-Rivières-Ouest),5,2,1071,6175
215,338 000,"221, rue Gaston",Repentigny (Repentigny),4,2,1100,6004
216,214 999,"1017, rue de l'Acajou",St-Jérôme (Bellefeuille),3,1+1,1175,3404
217,329 000,"2340, rue Larivière",Ville-Marie (Centre-Ville et Vieux Mtl),2,1,1000,2300
218,649 000,"3133, rue Lareau",Carignan,5,4,3010,10350
219,342 000,"132, rue Fernand-Séguin",Varennes,4,2,1305,6000
220,269 000,"1345, rue Amherst",Sherbrooke (Jacques-Cartier),5,1+1,1620,8250
221,415 000,"280, rue du Trécarré",Varennes,3,1+2,1410,6335
222,184 000,"745, rue des Tilleuls",Sherbrooke (Fleurimont),3,1+1,731,4219
223,358 000,"8550, Avenue de Choiseul",Charlesbourg,3,2,1188,7050
224,144 900,"316, boulevard Sir-Wilfrid-Laurier",Longueuil (St-Hubert),2,1,871,1400
225,309 000,"460, chemin du Lac-Migué",St-Damien,2,1,936,109279
226,285 000,"407, rue des Fleurons",Magog,3,1+1,1204,14679
227,409 000,"265, rang des Cèdres",St-Raymond,3,2,2000,182326
228,333 000,"814, avenue de l'Abbé-Théoret",Ste-Julie,6,2,620,5205
229,169 900,"1120, rue Malo",Trois-Rivières (Trois-Rivières-Ouest),3,2,796,3282
230,169 000,"131, rue Bourdon",Salaberry-De-Valleyfield,2,1+1,1137,3000
231,348 500,"2275, rue des Pommiers",Sherbrooke (Fleurimont),4,2,1200,6000
232,279 000,"585, place Schumann",Brossard,2,1,1110,1366
233,429 500,"1148, rue des Gélinottes",Longueuil (Vieux-Longueuil),4,2+1,1350,3597
234,299 900,"301-666, rue du Bord-de-l'Eau Ouest",Longueuil (Vieux-Longueuil),2,1,1219,26308
235,580 000,"1494, chemin de Bélair",Val-Bélair,5,2+1,2100,65000
236,525 000,"2718, montée d'Argenteuil",St-Adolphe-D'Howard,4,2+1,1625,100500
237,279 900,"517, rue Josiane",Fabreville,3,1+1,1150,2435
238,600 000,"301, rue Chagnon",Vercheres,4,3+1,3097,10708
239,249 000,"37, rue Laurent-Tremblay",Mont-St-Gregoire,4,1,1780,28930
240,171 900,"301-16045, rue Eugénie-Tessier",Pointe-Aux-Trembles / Montréal-Est,2,1,775,12056
241,229 900,"107, place Nancy",Beauport,3,1,912,4280
242,425 000,"2746, chemin Royal",Ile d'Orléans (Ste-Famille),6,2,2390,55038
244,174 000,"16-705, boulevard Saint-Joseph",Gatineau (Hull),2,1+1,1152,1759
245,94 500,"30, rue du Ruisseau",St-Ambroise,3,1,952,5000
246,329 500,"103-130, rue Marcel-R.-Bergeron",Bromont,3,2,1400,25672
247,595 000,"12150, rue Saint-Évariste",Ahuntsic / Cartierville,5,2+1,1624,3570
248,497 000,"5477-5479, avenue d'Orléans",Rosemont / La Petite Patrie,6,2,1624,1950
249,215 500,"87, rue Gabriel",St-Liboire,3,1+1,962,3360
250,415 000,"158, rue Dupont Est",Chateauguay,5,3+1,962,10999
251,453 641,"641, rue de la Soeur-Marie-Rose",Terrebonne (Lachenaie),5,2+1,1944,6215
254,695 000,"53, rue de l'Érablière Ouest",St-Hippolyte,5,2+1,3000,48000
255,500 000,"420, chemin du Ruisseau-Saint-Jean Sud",St-Roch-De-L'Achigan,4,1+1,4790,20000
256,330 000,"3219, rue Bertin",Longueuil (Vieux-Longueuil),2,1+1,1170,4000
257,425 000,"189, rue Picard",St-Eustache,4,2+1,1582,8100
258,399 000,"2052, chemin Doucet",Trois-Rives,3,1+1,1484,145000
259,347 900,"1167, rue du Clos-du-Petit-Mont",Prévost,2,1+1,775,9205
260,225 000,"336, rue Saint-Viateur",Granby,3,2,1002,6349
261,649 000,"1891, rue Cardinal",Le Sud-Ouest,3,2,1100,2027
263,389 000,"2760, rue des Albatros",Ste-Rose,3,1,1071,7326
264,192 500,"890, avenue des Noisetiers",Alma,3,2,832,15500
265,539 000,"1556, rue Louis-Durocher",Vimont,4,2,1750,8475
266,267 500,"278, rue Diana",St-Romuald,3,2,1041,7519
267,227 000,"233, rue Juliette",Napierville,2,1,896,6468
268,724 900,"198, avenue du Béarn",St-Lambert,4,2,1998,6588
269,348 000,"2661, rue des Chênes",Sherbrooke (Jacques-Cartier),4,2,1440,12000
270,375 000,"101, croissant Doré",Duhamel,4,2,1200,17565
271,358 000,"179, rue de l'Alizé",Bonsecours,3,3,2273,16178
272,619 000,"5849, rue Mignault",Mercier / Hochelaga / Maisonneuve,3,1,2273,2999
273,1 250 000,"445, avenue du Président-Kennedy",Ville-Marie (Centre-Ville et Vieux Mtl),3,1,2273,1968
274,275 000,"175, rue Richard",Princeville,4,2,1800,14133
275,70 500,"15, rue Boudreault",Port-Cartier,2,1,896,1405
276,233 000,"2405, rue de la Commune",Drummondville (Drummondville),4,2,992,6352
277,495 000,"4925, rue Viau",Sherbrooke (Rock Forest),5,2+1,1873,11711
278,314 900,"1014, avenue Saint-Luc",Mascouche,2,2,1000,6463
279,350 000,"129, avenue Bernard-Dumont  Est",St-Raphael,2,2,19982,42995
280,144 000,"77, rue Saint-Louis",East Angus,3,2,960,10000
281,515 000,"210, rue Marquis de Tracy",Boucherville,3,2,1500,7200
282,349 000,"1400, rue de l'Héritage",St-Lazare,4,2+1,1764,21581
283,207 000,"2933, rue Lavergne",Shawinigan (Shawinigan),7,3,1764,5000
284,254 900,"1620, rue du Framboisier",Drummondville (Drummondville),4,2,936,6695
285,459 000,"33-794, rue Jean-Deslauriers",Boucherville,2,1+1,1456,3871
286,287 000,"943, rue Rosalie-Cadron",Lavaltrie,3,1+2,1218,6700
287,195 000,"2653, rue des Alpes",Sherbrooke (Fleurimont),3,2,931,3950
289,228 000,"4, rue Massue",Victoriaville,4,2,931,7401
290,729 900,"6770, rue Châtelain",Rosemont / La Petite Patrie,3,1,730,2812
291,349 900,"3733, route des Rivières",St-Étienne-De-Lauzon,3,1+1,1960,6919
292,369 900,"497, rue de la Bonne-Entente",Rimouski (Rimouski),4,2+1,1914,5900
293,268 500,"579, chemin Giroux",Sherbrooke (Brompton),4,1+1,1100,45944
294,175 000,"243, rue des Becs-Croisés",St-Germain-De-Grantham,3,2,816,6512
295,489 000,"45, rue Brosseau",St-Constant,4,2+1,2025,7770
296,265 000,"543, rue Cocteau",Charlesbourg,4,1+2,1290,4819
297,189 000,"11-4064, rue de l'Écluse",Charny,3,1+1,1695,2905
298,145 000,"122, rue Gagné",Montmagny,3,2,1695,5662
299,299 900,"510, rue Macdale",Magog,5,2,1287,11112
300,484 999,"220, sentier Desgagné",St-Félix-D'Otis,3,2+1,2040,50000
302,314 000,"18, rue J.A.-Pélisson - Par Construction Mario Dion",Ste-Catherine-de-la-JC,2,1,1252,43000
305,235 000,"85, rue de la Paroi - Par Maisons Laprise",Ste-Adèle,2,1+1,1252,15000
306,245 900,"24, rue des Mélèzes - Quartier du Hameau",Boischatel,2,1+1,1414,1577
308,283 000,"103, rue Duberger",Charlesbourg,4,1+2,1190,2494
309,119 900,"1-687, boulevard des Grives",Gatineau (Hull),1,1,590,768
310,225 000,"892, rang du Bas-Corbin",St-Damase,3,2+1,1273,21195
311,169 500,"301-4720, place de la Marquise",Trois-Rivières (Trois-Rivières),2,1,1218,14931
312,169 850,"10, rue de Bonaventure",Gatineau (Gatineau),3,1+1,1200,2163
313,244 900,"100, rue du Lac Lily",Chertsey,2,1,1000,43000
314,274 900,"108, Rue du Lac Lily",Chertsey,3,2,1550,43000
315,157 000,"899, rue Merry Nord",Magog,2,1,936,18067
316,327 500,"249, rue de Navarone",Repentigny (Repentigny),3,1+1,1460,5000
317,235 000,"2252, chemin de la Pointe",ND-De-La-Merci,2,1,660,8127
318,235 000,"6-51, rue Boucher",Sorel-Tracy,3,1,1340,32911
319,199 500,"151, rue du Châtelet",Gatineau (Masson-Angers),4,1+1,830,6238
320,289 000,"18, chemin des Buffalos",Grenville-sur-la-Rouge,3,3,2744,64100
321,379 000,"12498, rue Napoléon-Bourassa",Rivière des Prairies,3,1+1,1320,2248
322,192 500,"81, rue Bernard",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),3,1+1,1030,4550
323,155 000,"628, rue Barkoff",Trois-Rivières (Cap-De-La-Madeleine),4,2,1025,5850
324,89 000,"309, rue Auclair",Ste-Brigitte-De-Laval,4,2,1025,126325
325,750 000,"687, rue Fernet",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),3,2+1,4500,16000
326,239 500,"100, rue Chassé",St-Anaclet-De-Lessard,5,2,2592,9500
327,326 500,"3185, rue Milleret",Ste-Foy,2,1,925,6525
328,389 000,"953, rue D'Antin",Repentigny (Repentigny),2,2,1560,9435
329,429 500,"246-250, rue Benoit Est",Longueuil (Vieux-Longueuil),6,1,1560,4157
330,399 000,"30, chemin du Grand-Pic",St-Faustin-Lac-Carré,2,3,1303,190034
331,679 000,"680, chemin de la Rivière Nord",St-Eustache,4,3+1,3300,100850
332,437 000,"1014, rue du Curé-Beauchemin",Terrebonne (Lachenaie),3,1+1,1665,6688
333,236 900,"98, rue Smith",Chateauguay,3,1,864,7015
334,119 000,"2018, rue Bellevue - Par Construction C.R.D inc.",Ste-Catherine-de-la-JC,1,1,710,12500
335,429 000,"17305, rue de Montcalm",Mirabel (Domaine-Vert Nord),3,2,1276,5770
336,375 000,"50, rue de la Cédrière",Morin-Heights,4,1+1,1516,35245
337,199 900,"321, chemin du 10e Rang",Coaticook,3,2,880,87120
338,254 900,"70, rue du Claret",Gatineau (Aylmer),3,1+1,1338,3680
339,367 000,"96, rue Narcisse-Poirier",Blainville,3,1+1,1064,6831
341,350 000,"1001, rue des Épinettes",Mascouche,3,1+1,1248,5000
342,146 900,"403-3496, rue Vautelet",Ste-Foy,1,1,797,39606
343,247 900,"2453, rue du Cuir",St-Émile,2,1+1,1156,2266
344,524 900,"1029, rue Gardenville",Longueuil (Vieux-Longueuil),4,2+1,1526,3123
345,242 900,"4, Place du Marais",Lachute,2,1+1,1311,7026
346,225 000,"105, rue Quesnel",Victoriaville,4,1+1,3180,6538
347,310 000,"252, rue Eleanor",Otterburn Park,4,2,1092,9700
348,459 000,"666, chemin du Bord-de-l'Eau",Ste-Dorothée,3,1+1,1092,6115
349,335 000,"56, rue Richard",Repentigny (Repentigny),3,1+1,1350,5000
350,419 000,"440, rue Bienville",Longueuil (Vieux-Longueuil),4,2,900,4368
352,235 000,"264, rue Maurice Sud",Rimouski (Rimouski),7,2,900,6750
353,218 000,"19, chemin Charbonneau",Val-Des-Monts (Perkins),3,2,900,65340
354,449 000,"1933, rue Honoré-Beaugrand",Mercier / Hochelaga / Maisonneuve,5,1+1,900,3182
355,389 000,"2281, rue Asselin",Longueuil (Vieux-Longueuil),4,1+1,1200,4275
356,429 000,"148, rue Saint-Denys-Garneau",St-Augustin-De-Desmaures,4,2+1,1650,6407
357,159 900,"2520, rue des Grands-Ducs",Drummondville (Drummondville),2,1+1,855,3366
358,367 000,"1030, 43e Avenue",Fabreville,3,1+1,1468,6400
359,330 000,"521, chemin de la Presqu'ile",Repentigny (Le Gardeur),6,2,870,34386
360,279 000,"1067, boulevard de l'Assomption",Repentigny (Repentigny),6,2,870,12841
361,249 000,"145, rue des Marronniers",Lévis,2,1,1125,7000
362,532 000,"785, rue de Vimy",Sherbrooke (Jacques-Cartier),6,3,2854,11625
363,210 000,"1136, rue des Mainates",Lac-St-Charles,2,1,932,4221
364,160 000,"2720, rue des Alouettes",Mont-Laurier,2,1,856,36928
365,234 900,"435, rue Lévis",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),4,2,1134,5850
366,259 000,"15465, 10e Avenue",St-Georges,4,2,1188,6889
367,249 000,"1565, rue de Londres",Trois-Rivières (Cap-De-La-Madeleine),4,1+1,1638,7993
368,258 000,"18223, rue de Chenonceau",Mirabel (Domaine-Vert Nord),3,1+1,1200,2000
369,204 900,"52, rue Loiselle",Les Côteaux,2,1+1,592,2002
370,529 000,"4552, rue Roger",Pierrefonds / Roxboro,4,2,1797,5799
